trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
31,False,"{'a': 0.9, 'e': 0.9398245380496354}",20,0,-67.34603344692022,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",0
32,False,"{'a': 0.9, 'e': 0.9379448889735361}",35,23,-14.545040005975954,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 0}",1
33,False,"{'a': 0.9, 'e': 0.9360689991955891}",25,0,-88.40555725738737,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
34,False,"{'a': 0.9, 'e': 0.9341968611971978}",20,0,-62.04371877911927,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
35,False,"{'a': 0.9, 'e': 0.9323284674748035}",25,0,-135.3312630954631,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
36,False,"{'a': 0.9, 'e': 0.9304638105398538}",20,0,-139.53630411831028,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
37,False,"{'a': 0.9, 'e': 0.9286028829187741}",35,1,-109.90128023193107,"{0: 22, 1: 3, 2: 8, 3: 0, 4: 1}",1
38,False,"{'a': 0.9, 'e': 0.9267456771529365}",20,0,-133.17432962249092,"{0: 12, 1: 4, 2: 1, 3: 0, 4: 3}",0
39,False,"{'a': 0.9, 'e': 0.9248921857986306}",20,0,-59.392567323693775,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
40,False,"{'a': 0.9, 'e': 0.9230424014270334}",30,0,-55.963618603895746,"{0: 24, 1: 3, 2: 1, 3: 1, 4: 1}",0
41,False,"{'a': 0.9, 'e': 0.9211963166241793}",35,0,-261.4542766958042,"{0: 18, 1: 3, 2: 7, 3: 4, 4: 3}",0
42,False,"{'a': 0.9, 'e': 0.919353923990931}",20,0,-113.93212618612475,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
43,False,"{'a': 0.9, 'e': 0.9175152161429492}",25,0,-154.85496468699833,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
44,False,"{'a': 0.9, 'e': 0.9156801857106632}",20,3,-120.54141589078853,"{0: 9, 1: 3, 2: 2, 3: 1, 4: 2}",1
45,False,"{'a': 0.9, 'e': 0.9138488253392419}",25,0,-204.44141841694525,"{0: 11, 1: 5, 2: 5, 3: 1, 4: 3}",0
46,False,"{'a': 0.9, 'e': 0.9120211276885635}",20,0,-56.40209937758777,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
47,False,"{'a': 0.9, 'e': 0.9101970854331863}",25,0,-126.23168837528577,"{0: 14, 1: 3, 2: 5, 3: 2, 4: 1}",0
48,False,"{'a': 0.9, 'e': 0.9083766912623199}",30,0,-141.4615239149195,"{0: 22, 1: 1, 2: 4, 3: 0, 4: 3}",0
49,False,"{'a': 0.9, 'e': 0.9065599378797953}",25,0,-155.6531450099418,"{0: 13, 1: 2, 2: 8, 3: 0, 4: 2}",0
50,False,"{'a': 0.9, 'e': 0.9047468180040357}",20,0,-145.43417764866365,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
51,False,"{'a': 0.9, 'e': 0.9029373243680276}",20,0,-44.229997694992214,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
52,False,"{'a': 0.9, 'e': 0.9011314497192916}",20,7,-2.7338561665913055,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
53,False,"{'a': 0.9, 'e': 0.899329186819853}",20,0,-18.675952933043703,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
54,False,"{'a': 0.9, 'e': 0.8975305284462133}",30,0,-212.0305950375518,"{0: 15, 1: 1, 2: 11, 3: 0, 4: 3}",0
55,False,"{'a': 0.9, 'e': 0.8957354673893209}",20,0,-93.53288811917662,"{0: 11, 1: 5, 2: 2, 3: 1, 4: 1}",0
56,False,"{'a': 0.9, 'e': 0.8939439964545421}",25,0,-96.63846786100662,"{0: 14, 1: 3, 2: 6, 3: 2, 4: 0}",0
57,False,"{'a': 0.9, 'e': 0.8921561084616331}",25,9,-24.10063333681099,"{0: 11, 1: 4, 2: 0, 3: 1, 4: 0}",1
58,False,"{'a': 0.9, 'e': 0.8903717962447099}",25,0,-124.6002576787437,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
59,False,"{'a': 0.9, 'e': 0.8885910526522204}",20,0,-88.55770651365053,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
60,False,"{'a': 0.9, 'e': 0.886813870546916}",30,0,-159.05611733197898,"{0: 16, 1: 5, 2: 6, 3: 1, 4: 2}",0
61,False,"{'a': 0.9, 'e': 0.8850402428058222}",25,0,-26.5448448131032,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
